#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_77957eff5f94_twin_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_77957eff5f94_twin_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_77957eff5f94_twin_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_77957eff5f94_twin_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_77957eff5f94_twin_evidence" name="distribution" x="@birthRate.t:alignment_77957eff5f94_twin_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_77957eff5f94_twin_evidence" name="distribution">
#            <parameter id="kappa1.s:alignment_77957eff5f94_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_77957eff5f94_twin_evidence" name="distribution">
#            <parameter id="kappa2.s:alignment_77957eff5f94_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_77957eff5f94_twin_evidence" id="treeLikelihood.alignment_77957eff5f94_twin_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_77957eff5f94_twin_evidence">
#            <siteModel id="SiteModel.s:alignment_77957eff5f94_twin_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_77957eff5f94_twin_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_77957eff5f94_twin_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_77957eff5f94_twin_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_77957eff5f94_twin_evidence" kappa1="@kappa1.s:alignment_77957eff5f94_twin_evidence" kappa2="@kappa2.s:alignment_77957eff5f94_twin_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_77957eff5f94_twin_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_77957eff5f94_twin_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_77957eff5f94_twin_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_77957eff5f94_twin_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-13732.109259150035	-13728.222245321678	-13732.109259150035	3.887013828356194	-13732.109259150035	0.07675983053033192	6.443939718552268	5.150065501749657	0.22777067720354752	0.2683144811927814	0.2660182390840143	0.23789660251965686	10.04239759146011	28.103933064483563
1	-12830.233234775538	-12822.028769388122	-12830.233234775538	8.20446538741709	-12830.233234775538	0.03382620153278303	10.515239034362635	1.7780278187646106	0.24161989897252237	0.25303657092466675	0.2679956854572011	0.2373478446456098	14.060266484385423	48.64866013143888
2	-9954.262966521037	-9950.225079613785	-9954.262966521037	4.037886907252249	-9954.262966521037	0.08304707150106039	4.38351203238078	2.7412766945378366	0.23868316066958475	0.24661010817703993	0.2725145250755996	0.2421922060777757	8.88141685082874	20.53933149988902
3	-7888.530781657593	-7895.633126777921	-7888.530781657593	-7.102345120327088	-7888.530781657593	0.3712327999224627	4.731056904790799	4.477911296655925	0.23868316066958475	0.24661010817703993	0.2725145250755996	0.2421922060777757	-1.5868794194028273	1.0025527816677253
4	-7470.7841417739155	-7474.245339198236	-7470.7841417739155	-3.4611974243205714	-7470.7841417739155	0.3512210307977936	2.499676687548199	2.7963471209722317	0.2605539644863605	0.24869017223095546	0.26441380991147284	0.22634205337121124	0.7699478984066159	3.251030133620952
5	-7345.572635822873	-7357.05956689575	-7345.572635822873	-11.486931072877224	-7345.572635822873	0.910401188039721	2.2564604802363557	5.491741347188362	0.26544612393664696	0.23368915943289717	0.26735629376903414	0.23350842286142173	-6.516371934081521	0.38226374206829633
6	-6809.7106047083835	-6821.288765400967	-6809.7106047083835	-11.578160692583653	-6809.7106047083835	2.3017961767898556	3.1402752409568526	5.324163220360855	0.27488503218222515	0.2273321139974896	0.2621939247703225	0.23558892904996276	-6.326149540360209	1.0091920864546244
7	-6702.921407296352	-6709.022537265324	-6702.921407296352	-6.10112996897163	-6702.921407296352	0.839808406406502	1.557277018462369	1.6834293353397565	0.2756169405127235	0.2324584503049898	0.26331911204860725	0.22860549713367947	-2.6804201920300335	1.3122510418859263
8	-6641.263067874204	-6648.587032685968	-6641.263067874204	-7.323964811763037	-6641.263067874204	0.8325644236261619	2.7920129280835733	1.694374039278217	0.2748869348856147	0.24325200248638243	0.251274936027092	0.23058612660091085	-3.413996806951158	2.9040222120380847
9	-6542.671553264339	-6548.929524048357	-6542.671553264339	-6.25797078401811	-6542.671553264339	0.774616499682297	2.1631758565478636	0.8896408900857927	0.28967551996242097	0.23480811802759274	0.25886623663825836	0.21665012537172795	-2.903254240865507	3.230081336695999
10	-6503.328127773293	-6510.264575581036	-6503.328127773293	-6.9364478077431375	-6503.328127773293	0.711870608628474	0.34666868188992206	2.253422508266173	0.29612148699324903	0.23279032478488082	0.25921995923016494	0.2118682289917053	-3.5308209361899334	4.404247066504065
11	-6487.871295308664	-6492.630523935297	-6487.871295308664	-4.759228626632438	-6487.871295308664	0.6442447638448068	0.2821940526275665	1.2961975747859094	0.30968977593071406	0.22216654701597652	0.259713125183134	0.20843055187017553	-1.6633856667461941	1.4886763785181625
12	-6465.622868897456	-6472.790111633514	-6465.622868897456	-7.167242736058048	-6465.622868897456	0.8422763975983925	0.41586974369663543	1.042182076848352	0.3072878733818356	0.20635481489204363	0.2703692711655765	0.21598804056054438	-4.297179851650757	5.207596333259488
13	-6444.284704423815	-6448.708426785883	-6444.284704423815	-4.423722362067258	-6444.284704423815	0.6474062049148114	0.4876218242100597	1.4632109830801758	0.31384702273822396	0.20536625316781051	0.282571340020108	0.19821538407385778	-1.4096589395323993	1.4399439873246047
14	-6432.639234703894	-6439.207663877509	-6432.639234703894	-6.568429173615407	-6432.639234703894	1.1581810557868888	0.3725172862513229	0.9989572401246256	0.3197273343673187	0.19850970113445415	0.28212517635491846	0.19963778814330893	-3.6880979059780445	1.4650120027961258
15	-6415.558701497565	-6420.824071586603	-6415.558701497565	-5.265370089038224	-6415.558701497565	0.8604761048405859	0.7189300211800461	1.3113975593456062	0.3195754391638929	0.19592684854338768	0.2788754965442468	0.20562221574847286	-2.304045668351709	2.0052889233611393
