Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-6331.718200543773	-6325.774282758568	-5.943917785204546	-6325.774282758568	1.1366268771965462	0.7141737006967854	0.7940519381694456	0.2757150534224491	0.2352896581581663	0.23691160476004317	0.2520836836593415	-3.170678884866631	1.187013306754717	
1	-6331.718200543773	-6325.774282758568	-5.943917785204546	-6325.774282758568	1.1366268771965462	0.7141737006967854	0.7940519381694456	0.2757150534224491	0.2352896581581663	0.23691160476004317	0.2520836836593415	-3.170678884866631	1.187013306754717	
2	-6331.718200543773	-6325.774282758568	-5.943917785204546	-6325.774282758568	1.1366268771965462	0.7141737006967854	0.7940519381694456	0.2757150534224491	0.2352896581581663	0.23691160476004317	0.2520836836593415	-3.170678884866631	1.187013306754717	
3	-6331.718200543773	-6325.774282758568	-5.943917785204546	-6325.774282758568	1.1366268771965462	0.7141737006967854	0.7940519381694456	0.2757150534224491	0.2352896581581663	0.23691160476004317	0.2520836836593415	-3.170678884866631	1.187013306754717	
4	-6331.718200543773	-6325.774282758568	-5.943917785204546	-6325.774282758568	1.1366268771965462	0.7141737006967854	0.7940519381694456	0.2757150534224491	0.2352896581581663	0.23691160476004317	0.2520836836593415	-3.170678884866631	1.187013306754717	
5	-6330.1794161631315	-6324.931475715508	-5.24794044762333	-6324.931475715508	0.9292620055003613	0.7141737006967854	0.677249185606623	0.2752166418109771	0.2232918808128962	0.23691160476004317	0.26457987261608357	-2.500397242289489	1.3552182558071753	
6	-6329.614125831935	-6324.859764827439	-4.754361004496124	-6324.859764827439	0.8061796561356502	0.6908945925470672	0.9334130878781352	0.275458560699167	0.23298447626753974	0.2458901144498014	0.2456668485834919	-1.9428474750955602	1.6903652630343224	
7	-6327.738629087323	-6321.790946516616	-5.947682570707048	-6321.790946516616	0.9665105591075405	0.7704331600080171	1.0133745093938709	0.2642919677796051	0.22828169592583406	0.25556103123442087	0.25186530506014004	-3.090802141630471	2.4692481592812157	
