#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:true" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:true" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:true" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true">
#                    <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:true" name="distribution" x="@popSize.t:true">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant
0	-8180.157665210454	-8140.026324630122	-40.1313405803325	-8140.026324630122	3.5338720092411458	0.3	-41.335313384658434
1000	-6228.247523016598	-6224.386529417139	-3.8609935994594506	-6224.386529417139	0.9196462191023727	1.0068689038395258	-3.85414817906422
2000	-6229.802626733689	-6225.300255027071	-4.502371706617545	-6225.300255027071	0.8703962882302263	1.2829450625298089	-4.253213441441118
3000	-6227.496613760202	-6224.142255903825	-3.354357856377633	-6224.142255903825	0.9318247709188193	0.7632310175633086	-3.624552374590177
4000	-6228.24342557458	-6225.075618053842	-3.167807520738143	-6225.075618053842	0.9191476315824925	0.7653656814927539	-3.4352090650833222
5000	-6227.753725758896	-6224.586557556162	-3.167168202733964	-6224.586557556162	0.8328454013373493	0.7470872738618372	-3.458741470928634
6000	-6227.622100419034	-6224.200386014252	-3.4217144047815617	-6224.200386014252	0.880850186131966	0.7905302291053689	-3.6567657873578208
7000	-6230.124204880587	-6226.171825962535	-3.9523789180520055	-6226.171825962535	0.9684176134253311	0.48190354248621514	-4.682390222333291
8000	-6232.770889481864	-6227.8636222812875	-4.907267200576781	-6227.8636222812875	0.9118805873833805	0.35186401616388974	-5.951777696316956
9000	-6229.445081132251	-6224.929438499691	-4.5156426325600005	-6224.929438499691	0.9340133873045892	1.297355525409124	-4.255314651134065
10000	-6228.1752908006565	-6225.2618991169475	-2.9133916837089036	-6225.2618991169475	0.8604928647942264	0.6383226752599629	-3.3623030466044805
11000	-6231.5037027089065	-6228.174828309776	-3.3288743991304073	-6228.174828309776	1.0335876897989702	0.786126306826526	-3.569512202885462
12000	-6229.530078530222	-6224.173209391289	-5.356869138933314	-6224.173209391289	0.8568842355927682	1.7216787510775196	-4.813569306035567
13000	-6231.244816957229	-6227.0401148249275	-4.204702132301385	-6227.0401148249275	0.9830148342912094	1.112970746690394	-4.09766934365043
